,importance,stddev,p_value,n,p99_high,p99_low
Sex,0.11515151515151516,0.006715275107363238,1.381627985132157e-06,5,0.12897835941254157,0.10132467089048874
Name,0.08148148148148149,0.01212952286070149,5.722637739039124e-05,5,0.10645633669948787,0.05650662626347511
Ticket,0.06262626262626263,0.0064668284134177245,1.3451519442178597e-05,5,0.075941551710557,0.049310973541968256
Pclass,0.04691358024691359,0.006319051968690992,3.8562147170454e-05,5,0.0599245955890281,0.03390256490479908
Age,0.034118967452300766,0.005240232336668355,6.472357331763131e-05,5,0.044908678261208756,0.023329256643392776
SibSp,0.028507295173961823,0.002817037126377346,1.1295202252380352e-05,5,0.034307613552763586,0.02270697679516006
Parch,0.02312008978675646,0.0023273222618773993,1.2156383524160135e-05,5,0.027912078490974098,0.01832810108253882
Cabin,0.02244668911335579,0.006095836414814908,0.0005931470163447255,5,0.03499810054487262,0.009895277681838956
Fare,0.014590347923681279,0.0017745665881977709,2.5749576436542735e-05,5,0.018244205055897255,0.010936490791465303
Embarked,0.013692480359147052,0.0016646910184277919,2.5708476993982895e-05,5,0.01712010217456488,0.010264858543729223
PassengerId,0.013243546576879917,0.002679536787051292,0.00019057347858926556,5,0.01876074985655268,0.007726343297207154
